SourceID,DestinationID,Delivered,Total,DeliveryRatio
450,451,6,6,1
450,452,7,7,1
450,453,1,1,1
450,454,2,2,1
450,455,1,1,1
450,456,2,2,1
450,457,6,6,1
450,458,2,2,1
450,459,2,2,1
451,450,2,2,1
451,452,2,2,1
451,454,2,2,1
451,455,1,1,1
451,456,5,5,1
451,458,1,1,1
451,459,3,3,1
452,450,3,3,1
452,451,1,1,1
452,453,2,2,1
452,454,2,2,1
452,455,2,2,1
452,456,1,1,1
452,457,2,2,1
452,458,7,7,1
452,459,2,2,1
453,450,4,4,1
453,451,3,3,1
453,452,1,1,1
453,454,1,1,1
453,456,1,1,1
453,457,2,2,1
453,458,2,2,1
453,459,2,2,1
454,450,2,2,1
454,451,1,1,1
454,452,2,2,1
454,453,6,6,1
454,455,1,1,1
454,456,1,1,1
454,457,2,2,1
454,458,2,2,1
454,459,5,5,1
455,450,3,3,1
455,451,1,1,1
455,452,2,2,1
455,453,3,3,1
455,454,2,2,1
455,457,3,3,1
455,458,3,3,1
455,459,1,1,1
456,450,4,4,1
456,453,2,2,1
456,454,4,4,1
456,455,3,3,1
456,457,1,1,1
456,458,1,1,1
456,459,6,6,1
457,450,3,3,1
457,451,1,1,1
457,452,2,2,1
457,453,1,1,1
457,454,1,1,1
457,455,5,5,1
457,456,4,4,1
457,458,1,1,1
457,459,5,5,1
458,450,3,3,1
458,451,4,4,1
458,452,1,1,1
458,453,1,1,1
458,454,2,2,1
458,455,2,2,1
458,456,4,4,1
458,457,1,1,1
458,459,2,2,1
459,450,1,1,1
459,452,1,1,1
459,453,2,2,1
459,454,2,2,1
459,455,2,2,1
459,456,1,1,1
459,457,2,2,1
459,458,2,2,1
